status,latest_date,latest_close,weekly_up,daily_up,setup_type,action,trend_score,setup_score,liquidity_score,vol_pref_score,total_score,turnover_med25_yen,turnover_med25_mn_yen,rv_eval_pct,rv_lookback,vol_ratio,bb_z,ma25,ma50,bb_upper,bb_lower,entry_low,entry_high,stop,take1,take2,risk_pct,reward1_pct,reward2_pct,rr1,rr2,code,group_name,file_path
ok,2026-06-15,3215.0,True,True,監視,除外（ボラ条件外）,100.0,0.0,70.0,0.0,45.5,257260300.0,257.2603,74.08592451596401,126,0.6342799481043678,1.2036051890951875,2802.76,2502.5,3487.7686784851803,2117.75132151482,,,,,,,,,,,421A,③業績も短信も良い20,prices/421A.T/421A.T__1d.csv
ok,2026-06-16,1492.0,True,True,監視,除外（ボラ条件外）,100.0,0.0,70.0,0.0,45.5,359422800.0,359.4228,48.787471478635666,126,0.9332442080829746,1.566983050786113,1365.68,1303.92,1526.9070151060391,1204.452984893961,,,,,,,,,,,6058,④その他140,prices/6058.T/6058.T__1d.csv
ok,2026-06-16,1784.0,True,False,監視,監視候補（週足上昇）,75.0,0.0,85.0,43.28,45.49,841336400.0,841.3364,34.17991980433766,126,0.3754648300424239,1.2656260467357947,1634.84,1638.7,1870.5494346860228,1399.130565313977,,,,,,,,,,,9247,④その他140,prices/9247.T/9247.T__1d.csv
ok,2026-06-15,950.0,True,True,監視,除外（流動性不足）,100.0,0.0,0.0,64.15,44.62,3185800.0,3.1858,11.0375320085884,126,1.2842465753424657,0.6408069008305679,943.4,928.7,963.9990291036054,922.8009708963946,,,,,,,,,,,9344,④その他140,prices/9344.T/9344.T__1d.csv
ok,2026-06-16,1364.0,True,False,監視,監視候補（週足上昇）,75.0,0.0,70.0,38.91,42.59,222028600.0,222.0286,35.272097300706974,126,0.4927230307743584,1.2232934102696598,1295.64,1306.74,1407.403865359057,1183.8761346409433,,,,,,,,,,,6238,④その他140,prices/6238.T/6238.T__1d.csv
ok,2026-06-15,2359.0,True,False,監視,監視候補（週足上昇）,75.0,0.0,100.0,5.15,42.02,1221312300.0,1221.3123,43.71155359455713,126,0.4714876912201717,-0.44283025557571687,2420.04,2261.72,2695.7212536245643,2144.3587463754357,,,,,,,,,,,4776,④その他140,prices/4776.T/4776.T__1d.csv
ok,2026-06-15,786.0,True,False,監視,監視候補（週足上昇）,75.0,0.0,55.0,48.81,41.82,184057500.0,184.0575,32.79764484698317,126,1.4735054552012263,-0.32517173289811746,794.48,760.24,846.6370551315847,742.3229448684153,,,,,,,,,,,6071,④その他140,prices/6071.T/6071.T__1d.csv
ok,2026-06-15,930.0,True,True,監視,除外（流動性不足）,100.0,0.0,0.0,38.47,40.77,7484400.0,7.4844,35.381577631625156,126,0.6656017039403621,0.819443206512815,907.4,845.4,962.5594053630039,852.2405946369961,,,,,,,,,,,3566,④その他140,prices/3566.T/3566.T__1d.csv
ok,2026-06-15,6020.0,True,False,監視,監視候補（週足上昇）,75.0,0.0,55.0,31.03,39.15,156940000.0,156.94,37.24286317851659,126,0.8243141203121067,1.3817698061583576,5780.4,5787.0,6127.201614758314,5433.598385241686,,,,,,,,,,,4051,④その他140,prices/4051.T/4051.T__1d.csv
ok,2026-06-12,2968.0,True,False,監視,除外（ボラ条件外）,75.0,0.0,70.0,0.0,36.75,254826000.0,254.826,62.166613032583804,126,0.4762340873706383,-0.6536423160352953,3098.08,2801.5,3496.0958469207058,2700.064153079294,,,,,,,,,,,4417,④その他140,prices/4417.T/4417.T__1d.csv
