status,latest_date,latest_close,weekly_up,daily_up,setup_type,action,trend_score,setup_score,liquidity_score,vol_pref_score,total_score,turnover_med25_yen,turnover_med25_mn_yen,rv_eval_pct,rv_lookback,vol_ratio,bb_z,ma25,ma50,bb_upper,bb_lower,entry_low,entry_high,stop,take1,take2,risk_pct,reward1_pct,reward2_pct,rr1,rr2,code,group_name,file_path
ok,2026-07-02,4890.0,True,True,順張りブレイク,買い候補（ブレイク）,100.0,100.0,55.0,43.17,84.73,109920000.0,109.92,34.207873734344105,126,1.68807994289793,2.0463254571546763,4509.2,4319.7,4881.379311622781,4137.020688377219,4969.92,5019.6192,4084.475,5367.5136,5715.407999999999,17.82,8.0,15.0,0.45,0.84,2108,④その他140,prices/2108.T/2108.T__1d.csv
ok,2026-07-02,3555.0,True,True,押し目買い,買い候補（押し目）,100.0,88.0,70.0,39.72,82.26,302886000.0,302.886,35.07053585464072,126,0.8459766462784971,0.020117370847133983,3551.4,3222.34,3909.2996507401745,3193.5003492598257,3537.225,3572.7749999999996,3093.75,3909.2996507401745,4001.508,12.54,10.52,13.13,0.84,1.05,4064,④その他140,prices/4064.T/4064.T__1d.csv
ok,2026-07-02,2484.0,True,False,押し目買い,買い候補（押し目）,60.0,88.0,85.0,75.53,75.88,543802800.0,543.8028,26.116985953013593,126,0.9357135608700065,-0.319219335528813,2512.44,2406.56,2690.6246951901385,2334.2553048098616,2471.58,2499.8778,2286.9,2690.6246951901385,2799.8631360000004,7.47,8.86,13.28,1.19,1.78,6737,④その他140,prices/6737.T/6737.T__1d.csv
ok,2026-07-02,2080.0,True,True,監視,監視候補（週足上昇）,100.0,0.0,100.0,34.25,55.14,1188348000.0,1188.348,36.43833466258068,126,0.3766017030045957,0.9688408882119447,1905.76,1747.88,2265.447544404883,1546.0724555951172,,,,,,,,,,,9247,④その他140,prices/9247.T/9247.T__1d.csv
