code,latest_date,action,setup_type,weekly_up,daily_up,latest_close,entry_low,entry_high,take1,stop,rr1,risk_pct,vol_ratio,turnover_med25_mn_yen,total_score,today_rank_score,ifd_reco_time,ifd_order_type,ifd_entry_price,ifd_take_profit,ifd_stop_loss,ifd_0930_formula,ifd_skip_rule,ifd_note
6310,2026-06-02,見送り（週足弱い）,監視,False,False,1720.0,,,,,,,2.5,302.8,21.1,,見送り,,,,,,,
269A,2026-06-02,除外（流動性不足）,監視,True,False,2308.0,,,,,,,1.3,22.3,21.0,,見送り,,,,,,,
4437,2026-06-02,除外（流動性不足）,監視,True,False,877.0,,,,,,,0.2,9.3,21.0,,見送り,,,,,,,
334A,2026-06-02,除外（流動性不足）,監視,True,False,895.0,,,,,,,0.4,4.5,21.0,,見送り,,,,,,,
3333,2026-06-03,見送り（週足弱い）,監視,False,False,1232.0,,,,,,,1.3,176.6,20.9,,見送り,,,,,,,
1870,2026-06-02,見送り（週足弱い）,監視,False,False,1806.0,,,,,,,1.0,407.1,20.8,,見送り,,,,,,,
9416,2026-06-03,見送り（週足弱い）,監視,False,False,1023.0,,,,,,,1.0,367.7,20.8,,見送り,,,,,,,
5480,2026-06-03,見送り（週足弱い）,監視,False,False,4440.0,,,,,,,1.2,388.6,20.8,,見送り,,,,,,,
9543,2026-06-03,見送り（週足弱い）,監視,False,False,1200.0,,,,,,,1.6,163.1,20.1,,見送り,,,,,,,
145A,2026-06-02,除外（流動性不足）,監視,False,True,853.0,,,,,,,1.8,8.2,19.9,,見送り,,,,,,,
436A,2026-06-02,除外（流動性不足）,監視,False,True,1065.0,,,,,,,0.7,24.6,19.4,,見送り,,,,,,,
6182,2026-06-02,除外（流動性不足）,監視,False,True,553.0,,,,,,,1.3,25.8,19.2,,見送り,,,,,,,
9271,2026-06-02,除外（流動性不足）,監視,False,True,1055.0,,,,,,,1.5,43.3,19.2,,見送り,,,,,,,
5029,2026-06-02,除外（流動性不足）,監視,False,True,791.0,,,,,,,1.9,6.9,19.2,,見送り,,,,,,,
5587,2026-06-02,除外（流動性不足）,監視,False,True,820.0,,,,,,,0.8,4.6,19.2,,見送り,,,,,,,
5026,2026-06-02,除外（流動性不足）,監視,False,True,637.0,,,,,,,1.0,15.1,19.2,,見送り,,,,,,,
5704,2026-06-02,除外（流動性不足）,監視,False,True,398.0,,,,,,,0.4,2.1,18.9,,見送り,,,,,,,
7803,2026-06-03,見送り（週足弱い）,監視,False,False,257.0,,,,,,,1.1,145.7,18.7,,見送り,,,,,,,
4374,2026-06-02,除外（流動性不足）,監視,False,True,2542.0,,,,,,,0.7,26.2,18.0,,見送り,,,,,,,
3496,2026-06-02,見送り（週足弱い）,監視,False,False,4085.0,,,,,,,1.5,445.1,17.2,,見送り,,,,,,,
8059,2026-06-03,見送り（週足弱い）,監視,False,False,2956.0,,,,,,,1.6,136.8,17.2,,見送り,,,,,,,
3221,2026-06-02,見送り（週足弱い）,監視,False,False,3085.0,,,,,,,1.4,71.1,16.8,,見送り,,,,,,,
4251,2026-06-03,見送り（週足弱い）,監視,False,False,1246.0,,,,,,,1.4,95.9,16.4,,見送り,,,,,,,
7244,2026-06-03,見送り（週足弱い）,監視,False,False,513.0,,,,,,,1.0,58.3,16.1,,見送り,,,,,,,
4415,2026-06-02,除外（流動性不足）,監視,True,False,1224.0,,,,,,,0.5,18.0,15.8,,見送り,,,,,,,
3558,2026-06-02,除外（ボラ条件外）,監視,False,False,1663.0,,,,,,,0.7,286.7,15.8,,見送り,,,,,,,
4477,2026-06-02,見送り（週足弱い）,監視,False,False,271.0,,,,,,,0.5,229.7,15.5,,見送り,,,,,,,
9622,2026-06-02,見送り（週足弱い）,監視,False,False,1396.0,,,,,,,1.6,73.9,15.4,,見送り,,,,,,,
7844,2026-06-03,見送り（週足弱い）,監視,False,False,459.0,,,,,,,0.9,54.5,15.4,,見送り,,,,,,,
1887,2026-06-02,見送り（週足弱い）,監視,False,False,525.0,,,,,,,1.6,178.6,15.3,,見送り,,,,,,,
6445,2026-06-03,見送り（週足弱い）,監視,False,False,1198.0,,,,,,,0.7,56.0,15.2,,見送り,,,,,,,
6418,2026-06-02,見送り（週足弱い）,監視,False,False,939.0,,,,,,,0.6,131.1,15.1,,見送り,,,,,,,
2492,2026-06-02,除外（ボラ条件外）,監視,False,False,388.0,,,,,,,1.0,1030.8,15.0,,見送り,,,,,,,
3656,2026-06-03,除外（ボラ条件外）,監視,False,False,225.0,,,,,,,0.5,3649.9,15.0,,見送り,,,,,,,
3692,2026-06-03,除外（ボラ条件外）,監視,False,False,5630.0,,,,,,,0.9,1059.5,15.0,,見送り,,,,,,,
4057,2026-06-02,除外（流動性不足）,監視,False,False,354.0,,,,,,,0.7,1.0,14.6,,見送り,,,,,,,
1814,2026-06-02,見送り（週足弱い）,監視,False,False,3150.0,,,,,,,0.8,331.4,14.6,,見送り,,,,,,,
7110,2026-06-02,除外（流動性不足）,監視,False,False,1988.0,,,,,,,0.9,6.9,14.4,,見送り,,,,,,,
4820,2026-06-02,見送り（週足弱い）,監視,False,False,491.0,,,,,,,0.8,80.1,14.3,,見送り,,,,,,,
4482,2026-06-02,除外（流動性不足）,監視,False,False,727.0,,,,,,,1.2,7.2,14.1,,見送り,,,,,,,
9330,2026-06-02,除外（流動性不足）,監視,False,False,845.0,,,,,,,0.3,1.5,13.5,,見送り,,,,,,,
4377,2026-06-02,除外（ボラ条件外）,監視,False,False,1988.0,,,,,,,1.2,145.4,13.5,,見送り,,,,,,,
5243,2026-06-02,除外（ボラ条件外）,監視,False,False,1901.0,,,,,,,1.5,521.3,12.8,,見送り,,,,,,,
4082,2026-06-02,除外（ボラ条件外）,監視,False,False,2160.0,,,,,,,0.8,845.9,12.8,,見送り,,,,,,,
5541,2026-06-02,除外（ボラ条件外）,監視,False,False,2230.0,,,,,,,0.6,914.2,12.8,,見送り,,,,,,,
7353,2026-06-02,除外（流動性不足）,監視,False,False,564.0,,,,,,,0.8,2.8,12.7,,見送り,,,,,,,
5035,2026-06-02,除外（流動性不足）,監視,False,False,398.0,,,,,,,0.5,1.8,12.5,,見送り,,,,,,,
6198,2026-06-02,除外（流動性不足）,監視,False,False,229.0,,,,,,,0.4,0.4,12.3,,見送り,,,,,,,
4450,2026-06-02,除外（流動性不足）,監視,False,False,1920.0,,,,,,,0.9,12.4,12.1,,見送り,,,,,,,
3921,2026-06-03,除外（流動性不足）,監視,False,False,1568.0,,,,,,,0.7,27.8,11.7,,見送り,,,,,,,
4054,2026-06-02,除外（流動性不足）,監視,False,False,509.0,,,,,,,0.6,9.2,11.5,,見送り,,,,,,,
4375,2026-06-03,見送り（週足弱い）,監視,False,False,727.0,,,,,,,1.6,144.1,11.3,,見送り,,,,,,,
7687,2026-06-02,除外（流動性不足）,監視,False,False,405.0,,,,,,,0.7,4.1,11.3,,見送り,,,,,,,
3622,2026-06-02,除外（流動性不足）,監視,False,False,505.0,,,,,,,0.0,3.4,11.2,,見送り,,,,,,,
150A,2026-06-02,除外（流動性不足）,監視,False,False,353.0,,,,,,,0.4,1.2,11.2,,見送り,,,,,,,
1813,2026-06-02,見送り（週足弱い）,監視,False,False,2626.0,,,,,,,0.6,348.6,11.1,,見送り,,,,,,,
3674,2026-06-02,除外（流動性不足）,監視,False,False,324.0,,,,,,,2.2,1.3,10.8,,見送り,,,,,,,
4923,2026-06-02,除外（流動性不足）,監視,False,False,1072.0,,,,,,,1.1,40.2,10.7,,見送り,,,,,,,
3939,2026-06-03,見送り（週足弱い）,監視,False,False,493.0,,,,,,,0.9,73.6,10.5,,見送り,,,,,,,
5136,2026-06-03,除外（ボラ条件外）,監視,False,False,1497.0,,,,,,,1.5,52.0,10.5,,見送り,,,,,,,
7409,2026-06-02,除外（ボラ条件外）,監視,False,False,3015.0,,,,,,,0.8,496.1,10.5,,見送り,,,,,,,
4169,2026-06-02,除外（ボラ条件外）,監視,False,False,200.0,,,,,,,0.7,290.4,10.5,,見送り,,,,,,,
6039,2026-06-02,除外（ボラ条件外）,監視,False,False,948.0,,,,,,,0.5,215.9,10.5,,見送り,,,,,,,
338A,2026-06-02,除外（ボラ条件外）,監視,False,False,2234.0,,,,,,,1.0,364.8,10.5,,見送り,,,,,,,
5574,2026-06-02,除外（ボラ条件外）,監視,False,False,2200.0,,,,,,,1.1,264.1,10.5,,見送り,,,,,,,
446A,2026-06-02,除外（ボラ条件外）,監視,False,False,1386.0,,,,,,,1.4,405.4,10.5,,見送り,,,,,,,
7363,2026-06-02,除外（流動性不足）,監視,False,False,1151.0,,,,,,,0.1,1.2,10.3,,見送り,,,,,,,
5592,2026-06-02,見送り（週足弱い）,監視,False,False,2537.0,,,,,,,1.1,188.6,10.3,,見送り,,,,,,,
6033,2026-06-02,除外（流動性不足）,監視,False,False,1378.0,,,,,,,0.9,12.0,10.1,,見送り,,,,,,,
5867,2026-06-02,除外（流動性不足）,監視,False,False,1149.0,,,,,,,0.8,1.3,9.7,,見送り,,,,,,,
9245,2026-06-02,除外（流動性不足）,監視,False,False,1927.0,,,,,,,0.7,4.8,9.6,,見送り,,,,,,,
3623,2026-06-03,除外（流動性不足）,監視,False,False,989.0,,,,,,,0.8,22.6,9.4,,見送り,,,,,,,
7628,2026-06-03,除外（流動性不足）,監視,False,False,1069.0,,,,,,,1.3,30.9,9.3,,見送り,,,,,,,
151A,2026-06-02,除外（流動性不足）,監視,False,False,598.0,,,,,,,0.5,11.1,9.3,,見送り,,,,,,,
3649,2026-06-03,見送り（週足弱い）,監視,False,False,791.0,,,,,,,1.3,73.6,9.1,,見送り,,,,,,,
4396,2026-06-03,見送り（週足弱い）,監視,False,False,1068.0,,,,,,,2.5,91.5,9.0,,見送り,,,,,,,
5261,2026-06-02,除外（流動性不足）,監視,False,False,6630.0,,,,,,,0.9,46.2,9.0,,見送り,,,,,,,
7793,2026-06-02,除外（流動性不足）,監視,False,False,1495.0,,,,,,,0.4,3.9,9.0,,見送り,,,,,,,
9253,2026-06-02,除外（流動性不足）,監視,False,False,745.0,,,,,,,0.0,0.7,8.4,,見送り,,,,,,,
5590,2026-06-02,除外（ボラ条件外）,監視,False,False,699.0,,,,,,,2.7,191.4,8.2,,見送り,,,,,,,
5132,2026-06-02,除外（ボラ条件外）,監視,False,False,1581.0,,,,,,,1.5,134.8,8.2,,見送り,,,,,,,
438A,2026-06-02,除外（ボラ条件外）,監視,False,False,786.0,,,,,,,2.2,103.6,8.2,,見送り,,,,,,,
4828,2026-06-02,除外（ボラ条件外）,監視,False,False,1072.0,,,,,,,0.9,167.2,8.2,,見送り,,,,,,,
3777,2026-06-02,除外（ボラ条件外）,監視,False,False,51.0,,,,,,,0.7,148.0,8.2,,見送り,,,,,,,
4229,2026-06-02,除外（ボラ条件外）,監視,False,False,4495.0,,,,,,,1.0,143.0,8.2,,見送り,,,,,,,
9235,2026-06-02,除外（ボラ条件外）,監視,False,False,533.0,,,,,,,0.2,100.5,8.2,,見送り,,,,,,,
5852,2026-06-03,除外（ボラ条件外）,監視,False,False,697.0,,,,,,,1.4,135.8,8.2,,見送り,,,,,,,
4177,2026-06-02,除外（流動性不足）,監視,False,False,1463.0,,,,,,,1.2,6.6,7.8,,見送り,,,,,,,
4060,2026-06-02,除外（流動性不足）,監視,False,False,1035.0,,,,,,,1.6,16.7,7.5,,見送り,,,,,,,
9560,2026-06-02,除外（流動性不足）,監視,False,False,685.0,,,,,,,1.0,39.3,7.0,,見送り,,,,,,,
335A,2026-06-02,除外（流動性不足）,監視,False,False,366.0,,,,,,,0.3,4.5,7.0,,見送り,,,,,,,
9225,2026-06-02,除外（流動性不足）,監視,False,False,998.0,,,,,,,0.3,0.8,6.8,,見送り,,,,,,,
5033,2026-06-02,除外（流動性不足）,監視,False,False,671.0,,,,,,,1.4,3.4,6.6,,見送り,,,,,,,
5618,2026-06-02,除外（流動性不足）,監視,False,False,289.0,,,,,,,0.2,1.3,6.3,,見送り,,,,,,,
4397,2026-06-02,除外（流動性不足）,監視,False,False,391.0,,,,,,,1.1,17.1,6.2,,見送り,,,,,,,
5888,2026-06-02,除外（流動性不足）,監視,False,False,2752.0,,,,,,,0.9,25.1,6.0,,見送り,,,,,,,
324A,2026-06-03,除外（流動性不足）,監視,False,False,800.0,,,,,,,0.9,31.3,6.0,,見送り,,,,,,,
4476,2026-06-02,除外（流動性不足）,監視,False,False,981.0,,,,,,,1.2,40.0,5.2,,見送り,,,,,,,
5139,2026-06-02,除外（流動性不足）,監視,False,False,913.0,,,,,,,1.0,24.1,5.2,,見送り,,,,,,,
5134,2026-06-02,除外（流動性不足）,監視,False,False,523.0,,,,,,,1.4,3.7,5.2,,見送り,,,,,,,
3803,2026-06-02,除外（流動性不足）,監視,False,False,600.0,,,,,,,0.5,16.4,5.2,,見送り,,,,,,,
9236,2026-06-02,除外（流動性不足）,監視,False,False,1023.0,,,,,,,1.6,2.8,5.2,,見送り,,,,,,,
4019,2026-06-02,除外（流動性不足）,監視,False,False,615.0,,,,,,,1.6,22.1,5.2,,見送り,,,,,,,
5582,2026-06-02,除外（ボラ条件外）,監視,False,False,2151.0,,,,,,,1.4,88.8,5.2,,見送り,,,,,,,
341A,2026-06-02,除外（ボラ条件外）,監視,False,False,2000.0,,,,,,,0.9,83.6,5.2,,見送り,,,,,,,
4479,2026-06-02,除外（ボラ条件外）,監視,False,False,867.0,,,,,,,0.4,75.0,5.2,,見送り,,,,,,,
5621,2026-06-02,除外（ボラ条件外）,監視,False,False,1429.0,,,,,,,3.3,63.5,5.2,,見送り,,,,,,,
6580,2026-06-02,除外（ボラ条件外）,監視,False,False,755.0,,,,,,,0.2,86.3,5.2,,見送り,,,,,,,
4013,2026-06-02,除外（ボラ条件外）,監視,False,False,592.0,,,,,,,0.9,52.6,5.2,,見送り,,,,,,,
7352,2026-06-02,除外（ボラ条件外）,監視,False,False,332.0,,,,,,,0.6,53.9,5.2,,見送り,,,,,,,
4772,2026-06-03,除外（ボラ条件外）,監視,False,False,78.0,,,,,,,0.6,53.5,5.2,,見送り,,,,,,,
479A,2026-06-02,除外（ボラ条件外）,監視,False,False,1386.0,,,,,,,0.9,57.5,5.2,,見送り,,,,,,,
5137,2026-06-03,除外（ボラ条件外）,監視,False,False,213.0,,,,,,,0.7,51.4,5.2,,見送り,,,,,,,
6572,2026-06-02,除外（流動性不足）,監視,False,False,209.0,,,,,,,2.3,23.2,5.2,,見送り,,,,,,,
410A,2026-06-02,除外（流動性不足）,監視,False,False,1031.0,,,,,,,0.3,14.3,4.7,,見送り,,,,,,,
7091,2026-06-02,除外（流動性不足）,監視,False,False,1184.0,,,,,,,0.2,14.7,4.5,,見送り,,,,,,,
4256,2026-06-02,除外（流動性不足）,監視,False,False,992.0,,,,,,,0.4,6.5,4.1,,見送り,,,,,,,
6560,2026-06-02,除外（流動性不足）,監視,False,False,1646.0,,,,,,,1.3,13.1,2.3,,見送り,,,,,,,
4495,2026-06-02,除外（流動性不足）,監視,False,False,2064.0,,,,,,,0.5,31.7,0.9,,見送り,,,,,,,
9242,2026-06-02,除外（流動性不足）,監視,False,False,1839.0,,,,,,,1.3,5.2,0.8,,見送り,,,,,,,
4412,2026-06-02,除外（流動性不足）,監視,False,False,1227.0,,,,,,,1.7,47.2,0.0,,見送り,,,,,,,
9237,2026-06-02,除外（流動性不足）,監視,False,False,534.0,,,,,,,0.6,20.4,0.0,,見送り,,,,,,,
9337,2026-06-02,除外（流動性不足）,監視,False,False,1643.0,,,,,,,2.3,45.8,0.0,,見送り,,,,,,,
442A,2026-06-02,除外（流動性不足）,監視,False,False,1089.0,,,,,,,0.9,3.8,0.0,,見送り,,,,,,,
4811,2026-06-02,除外（流動性不足）,監視,False,False,795.0,,,,,,,1.4,15.4,0.0,,見送り,,,,,,,
168A,2026-06-02,除外（流動性不足）,監視,False,False,1142.0,,,,,,,0.6,4.9,0.0,,見送り,,,,,,,
4438,2026-06-02,除外（流動性不足）,監視,False,False,263.0,,,,,,,0.8,5.7,0.0,,見送り,,,,,,,
330A,2026-06-02,除外（流動性不足）,監視,False,False,439.0,,,,,,,0.6,26.2,0.0,,見送り,,,,,,,
4379,2026-06-02,除外（流動性不足）,監視,False,False,407.0,,,,,,,1.8,25.4,0.0,,見送り,,,,,,,
323A,2026-06-02,除外（流動性不足）,監視,False,False,434.0,,,,,,,0.2,11.3,0.0,,見送り,,,,,,,
9562,2026-06-02,除外（流動性不足）,監視,False,False,505.0,,,,,,,0.7,4.8,0.0,,見送り,,,,,,,
4240,2026-06-02,除外（流動性不足）,監視,False,False,331.0,,,,,,,0.8,14.0,0.0,,見送り,,,,,,,
5138,2026-06-02,除外（流動性不足）,監視,False,False,460.0,,,,,,,0.7,1.2,0.0,,見送り,,,,,,,
6548,2026-06-02,除外（流動性不足）,監視,False,False,109.0,,,,,,,0.2,4.2,0.0,,見送り,,,,,,,
264A,2026-06-02,除外（流動性不足）,監視,False,False,306.0,,,,,,,0.5,25.6,0.0,,見送り,,,,,,,
4170,2026-06-02,除外（流動性不足）,監視,False,False,133.0,,,,,,,0.5,11.4,0.0,,見送り,,,,,,,
1447,2026-06-02,除外（流動性不足）,監視,False,False,290.0,,,,,,,1.9,23.2,0.0,,見送り,,,,,,,
9240,2026-06-02,除外（流動性不足）,監視,False,False,445.0,,,,,,,0.7,4.0,0.0,,見送り,,,,,,,
3908,2026-06-02,除外（流動性不足）,監視,False,False,297.0,,,,,,,0.6,5.4,0.0,,見送り,,,,,,,
3542,2026-06-03,除外（流動性不足）,監視,False,False,1374.0,,,,,,,0.9,23.0,0.0,,見送り,,,,,,,
469A,2026-06-02,除外（流動性不足）,監視,False,False,1481.0,,,,,,,0.4,9.9,0.0,,見送り,,,,,,,
5591,2026-06-02,除外（流動性不足）,監視,False,False,817.0,,,,,,,0.5,49.4,0.0,,見送り,,,,,,,
7036,2026-06-02,除外（流動性不足）,監視,False,False,662.0,,,,,,,0.1,5.5,0.0,,見送り,,,,,,,
